ticker,group,signals,max_strength,close,rsi,td
AMD,bear,RSI顶背离(100); MACD顶背离(100),100.0,484.39,47.5,3
ABNB,bear,RSI顶背离(49); MACD顶背离(31),49.0,183.25,70.6,1
AMGN,bull,RSI底背离(15),15.0,425.28,74.3,2
APP,none,,0.0,307.26,29.2,1
ASML,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(92),100.0,1802.98,53.9,1
BKR,bear,TD9Sell(92),92.0,64.44,63.0,9
CRWD,both,RSI顶背离(74); MACD顶背离(51); 底量背离(22); TD9Sell(92),92.0,212.92,57.7,3
DXCM,none,,0.0,89.6,66.0,2
FANG,both,RSI底背离(12); RSI顶背离(50); MACD底背离(15); MACD顶背离(54); 底量背离(9); TD9Sell(进行中)(78),78.0,210.02,63.4,7
FAST,bear,TD9Sell(92),92.0,51.27,63.9,4
GILD,bull,RSI底背离(53); MACD底背离(22); TD9Sell(进行中)(74),74.0,143.44,69.5,6
KDP,bear,RSI顶背离(60); MACD顶背离(31),60.0,30.79,51.3,4
LRCX,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(进行中)(74),100.0,327.92,52.3,6
LITE,both,RSI顶背离(93); MACD底背离(61); MACD顶背离(100),100.0,873.31,53.2,1
MRVL,both,RSI顶背离(100); MACD顶背离(100); 底量背离(50),100.0,216.0,50.3,1
META,bull,MACD底背离(44),44.0,543.67,36.2,3
MU,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(进行中)(70),100.0,940.76,52.2,5
MSTR,bull,RSI底背离(100); MACD底背离(99),100.0,92.52,43.7,1
NBIS,bear,RSI顶背离(100); MACD顶背离(100),100.0,248.43,56.6,1
NVDA,none,,0.0,219.74,56.6,1
PLTR,both,RSI底背离(56); MACD底背离(32); 底量背离(15); TD9Sell(92),92.0,171.54,65.7,1
PANW,both,RSI顶背离(100); MACD顶背离(88); 底量背离(19); TD9Sell(92),100.0,374.14,59.8,3
PDD,both,RSI底背离(89); MACD底背离(75); 顶量背离(38); TD9Sell(92),92.0,87.27,50.4,6
REGN,both,RSI底背离(70); MACD底背离(86); TD9Sell(92),92.0,810.24,78.5,2
STX,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(进行中)(70),100.0,903.68,53.1,5
SHOP,bear,RSI顶背离(23); MACD顶背离(18),23.0,146.58,58.9,3
SBUX,bear,RSI顶背离(34); MACD顶背离(27); 顶量背离(36),36.0,106.01,51.8,1
TTWO,bear,RSI顶背离(77); MACD顶背离(69),77.0,242.4,50.3,4
TER,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(进行中)(70),100.0,404.29,54.4,5
VRTX,bear,顶量背离(39),39.0,528.19,64.8,1
WBD,both,底量背离(20); TD9Sell(92),92.0,28.48,71.9,9
