ticker,60min_数据截至,60min_方向,60min_EMA20,60min_EMA60,60min_收盘,日线_数据截至,日线_方向,日线_EMA20,日线_EMA60,日线_收盘,周线_数据截至,周线_方向,周线_EMA20,周线_EMA60,周线_收盘,多头数,空头数,分层,日线涨跌%
KLAC,2026-08-18 15:30 ET,空,199.87,200.67,194.86,2026-08-18 00:00 ET,空,202.37,205.95,194.79,2026-08-17 00:00 ET,多,198.19,157.92,194.79,1,2,偏空,-5.33
KHC,2026-08-18 15:30 ET,空,24.97,25.11,24.82,2026-08-18 00:00 ET,多,25.34,24.81,24.82,2026-08-17 00:00 ET,空,24.53,25.32,24.82,1,2,偏空,0.28
LRCX,2026-08-18 15:30 ET,多,329.94,324.18,328.15,2026-08-18 00:00 ET,多,319.82,317.9,327.92,2026-08-17 00:00 ET,多,305.75,232.99,327.92,3,0,多头共振,-4.63
LIN,2026-08-18 15:30 ET,空,479.19,483.24,478.63,2026-08-18 00:00 ET,空,491.51,501.81,478.7,2026-08-17 00:00 ET,多,498.44,480.45,478.7,1,2,偏空,0.92
LITE,2026-08-18 15:30 ET,多,910.02,887.79,872.43,2026-08-18 00:00 ET,多,839.78,819.81,873.31,2026-08-17 00:00 ET,多,798.59,572.57,873.31,3,0,多头共振,-9.87
MAR,2026-08-18 15:30 ET,多,357.18,356.44,357.43,2026-08-18 00:00 ET,空,360.31,365.43,357.33,2026-08-17 00:00 ET,多,362.08,329.26,357.33,2,1,偏多,0.21
MRVL,2026-08-18 15:30 ET,多,221.63,218.65,216.03,2026-08-18 00:00 ET,多,214.01,212.63,216.0,2026-08-17 00:00 ET,多,199.25,145.42,216.0,3,0,多头共振,-7.82
MELI,2026-08-18 15:30 ET,空,1806.78,1830.93,1779.42,2026-08-18 00:00 ET,多,1832.36,1793.09,1779.14,2026-08-17 00:00 ET,空,1786.81,1897.05,1779.14,1,2,偏空,-0.47
META,2026-08-18 15:30 ET,空,563.98,578.61,543.73,2026-08-18 00:00 ET,空,587.82,600.37,543.67,2026-08-17 00:00 ET,空,600.35,620.49,543.67,0,3,空头共振,-4.45
MCHP,2026-08-18 15:30 ET,空,78.41,79.18,78.19,2026-08-18 00:00 ET,空,79.82,83.2,78.19,2026-08-17 00:00 ET,多,82.36,76.06,78.19,1,2,偏空,-2.58
MU,2026-08-18 15:30 ET,多,962.14,936.96,941.5,2026-08-18 00:00 ET,多,917.1,883.76,940.76,2026-08-17 00:00 ET,多,817.87,538.85,940.76,3,0,多头共振,-7.02
MSFT,2026-08-18 15:30 ET,空,485.44,486.64,481.93,2026-08-18 00:00 ET,多,465.47,430.9,481.63,2026-08-17 00:00 ET,空,430.6,434.92,481.63,1,2,偏空,0.27
MSTR,2026-08-18 15:30 ET,空,95.29,95.89,92.55,2026-08-18 00:00 ET,空,96.52,108.9,92.52,2026-08-17 00:00 ET,空,118.14,175.06,92.52,0,3,空头共振,-5.28
MDLZ,2026-08-18 15:30 ET,多,62.85,62.6,62.67,2026-08-18 00:00 ET,多,62.13,61.22,62.66,2026-08-17 00:00 ET,空,61.02,61.06,62.66,2,1,偏多,0.77
MPWR,2026-08-18 15:30 ET,空,1367.14,1381.88,1333.85,2026-08-18 00:00 ET,空,1371.46,1388.63,1333.18,2026-08-17 00:00 ET,多,1367.54,1168.11,1333.18,1,2,偏空,-5.85
MNST,2026-08-18 15:30 ET,多,46.68,46.51,47.4,2026-08-18 00:00 ET,空,70.43,82.51,47.38,2026-08-17 00:00 ET,多,81.42,76.24,47.38,2,1,偏多,4.09
NBIS,2026-08-18 15:30 ET,多,257.48,240.77,248.47,2026-08-18 00:00 ET,多,223.52,211.02,248.43,2026-08-17 00:00 ET,多,200.69,142.23,248.43,3,0,多头共振,-7.6
NFLX,2026-08-18 15:30 ET,多,77.51,76.12,77.79,2026-08-18 00:00 ET,空,74.84,77.24,77.77,2026-08-17 00:00 ET,空,80.38,89.5,77.77,1,2,偏空,2.3
NVDA,2026-08-18 15:30 ET,多,222.43,220.8,219.8,2026-08-18 00:00 ET,多,215.16,208.72,219.74,2026-08-17 00:00 ET,多,206.19,186.02,219.74,3,0,多头共振,-2.34
NXPI,2026-08-18 15:30 ET,空,230.24,234.0,228.75,2026-08-18 00:00 ET,空,243.09,260.86,228.56,2026-08-17 00:00 ET,多,257.1,241.94,228.56,1,2,偏空,-1.79
ORLY,2026-08-18 15:30 ET,空,91.34,91.58,90.77,2026-08-18 00:00 ET,多,90.64,89.92,90.76,2026-08-17 00:00 ET,空,90.53,91.41,90.76,1,2,偏空,0.59
ODFL,2026-08-18 15:30 ET,空,210.63,212.76,207.93,2026-08-18 00:00 ET,空,216.15,218.19,208.0,2026-08-17 00:00 ET,多,213.74,194.12,208.0,1,2,偏空,-1.87
PCAR,2026-08-18 15:30 ET,空,129.68,130.82,128.03,2026-08-18 00:00 ET,多,130.53,125.88,128.02,2026-08-17 00:00 ET,多,123.53,115.19,128.02,2,1,偏多,-2.16
PLTR,2026-08-18 15:30 ET,多,173.38,169.03,171.59,2026-08-18 00:00 ET,多,156.36,143.3,171.54,2026-08-17 00:00 ET,多,144.62,139.93,171.54,3,0,多头共振,-0.59
PANW,2026-08-18 15:30 ET,多,376.83,374.43,374.12,2026-08-18 00:00 ET,多,361.77,319.56,374.14,2026-08-17 00:00 ET,多,297.5,235.6,374.14,3,0,多头共振,-0.43
PAYX,2026-08-18 15:30 ET,多,120.71,120.3,119.92,2026-08-18 00:00 ET,多,118.06,110.0,119.93,2026-08-17 00:00 ET,空,108.19,112.38,119.93,2,1,偏多,1.17
PYPL,2026-08-18 15:30 ET,多,60.53,59.66,60.43,2026-08-18 00:00 ET,多,57.92,52.59,60.43,2026-08-17 00:00 ET,空,52.07,55.81,60.43,2,1,偏多,-0.07
PDD,2026-08-18 15:30 ET,空,86.49,87.41,87.25,2026-08-18 00:00 ET,空,87.48,87.79,87.27,2026-08-17 00:00 ET,空,89.78,100.76,87.27,0,3,空头共振,0.38
PEP,2026-08-18 15:30 ET,多,139.69,139.24,140.11,2026-08-18 00:00 ET,空,139.28,141.76,140.13,2026-08-17 00:00 ET,空,143.95,147.87,140.13,1,2,偏空,1.37
QCOM,2026-08-18 15:30 ET,空,161.39,162.24,160.27,2026-08-18 00:00 ET,空,165.07,175.62,160.19,2026-08-17 00:00 ET,多,175.41,168.92,160.19,1,2,偏空,-1.23
REGN,2026-08-18 15:30 ET,多,810.44,795.77,810.24,2026-08-18 00:00 ET,多,760.27,710.53,810.24,2026-08-17 00:00 ET,多,714.66,705.58,810.24,3,0,多头共振,0.53
RKLB,2026-08-18 15:30 ET,多,80.5,79.26,79.16,2026-08-18 00:00 ET,空,77.34,83.61,79.16,2026-08-17 00:00 ET,多,84.34,70.56,79.16,2,1,偏多,-3.56
ROP,2026-08-18 15:30 ET,多,396.01,395.04,394.17,2026-08-18 00:00 ET,多,387.77,368.18,394.17,2026-08-17 00:00 ET,空,369.75,410.88,394.17,2,1,偏多,1.14
ROST,2026-08-18 15:30 ET,空,239.69,244.63,236.31,2026-08-18 00:00 ET,多,243.75,234.71,236.38,2026-08-17 00:00 ET,多,229.33,200.0,236.38,2,1,偏多,0.47
SNDK,2026-08-18 15:30 ET,多,1642.96,1517.21,1625.0,2026-08-18 00:00 ET,空,1465.11,1486.91,1625.78,2026-08-17 00:00 ET,多,1407.9,885.82,1625.78,2,1,偏多,-9.01
STX,2026-08-18 15:30 ET,多,936.08,905.25,903.39,2026-08-18 00:00 ET,多,876.74,839.45,903.68,2026-08-17 00:00 ET,多,788.19,533.55,903.68,3,0,多头共振,-9.16
SHOP,2026-08-18 15:30 ET,多,149.44,147.92,146.6,2026-08-18 00:00 ET,多,140.02,127.82,146.58,2026-08-17 00:00 ET,多,127.11,125.01,146.58,3,0,多头共振,-1.39
