ticker,data_asof,timeframe,formula_profile,n,m,k,d,prev_k,prev_d,k_le_20,d_le_20,both_le_20,k_ge_80,d_ge_80,both_ge_80,cross,trend_context,scenario,observation_label,needs_human_confirmation,data_status
ADBE,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,54.16,62.87,59.32,70.65,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
AMD,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,55.71,53.84,57.91,48.27,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
ABNB,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,87.85,88.73,87.97,89.21,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
ALNY,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,67.87,65.16,64.4,60.92,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
GOOGL,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,14.96,17.38,16.06,21.53,True,True,True,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,待人工分类,超卖区,True,ok
GOOG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,13.1,15.69,14.2,20.24,True,True,True,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,待人工分类,超卖区,True,ok
AMZN,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,15.53,21.79,20.86,31.49,True,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
AEP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,51.66,43.56,44.24,35.22,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
AMGN,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,89.65,88.41,88.44,87.52,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
ADI,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,60.46,68.82,72.8,73.24,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
AAPL,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,36.38,29.58,27.54,24.49,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
AMAT,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,45.68,52.19,53.55,61.13,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
APP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,7.5,7.51,7.33,7.68,True,True,True,False,False,False,无,分层=空头共振; 日线_方向=空; 周线_方向=空,下跌超跌,超卖区,True,ok
ARM,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,39.94,53.4,53.79,62.92,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
ASML,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,81.35,85.24,88.28,86.54,False,False,False,True,True,True,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区; 高位下穿,True,ok
ALAB,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,30.63,36.71,36.98,43.08,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
ADSK,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,57.74,68.77,66.85,77.67,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
ADP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,45.65,59.23,56.86,69.12,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
AXON,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,75.72,74.95,74.01,74.39,False,False,False,False,False,False,上穿,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
BKR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,83.69,85.4,86.58,85.77,False,False,False,True,True,True,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区; 高位下穿,True,ok
BKNG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,57.75,72.1,70.66,82.32,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
AVGO,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,29.08,43.79,42.65,59.7,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
CDNS,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,11.76,13.6,14.42,14.62,True,True,True,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,待人工分类,超卖区,True,ok
CTAS,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,20.46,21.04,19.24,24.05,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
CSCO,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,26.83,36.7,36.0,49.25,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
CCEP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,46.56,49.81,47.34,51.17,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
CMCSA,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,80.59,85.08,82.76,89.47,False,False,False,True,True,True,无,分层=偏多; 日线_方向=多; 周线_方向=空,顶部超买,超买区,True,ok
CEG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,60.17,68.66,72.62,71.57,False,False,False,False,False,False,下穿,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
CPRT,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,70.8,65.06,67.85,55.54,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
CRWV,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,59.9,70.22,73.04,78.05,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
COST,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,65.44,62.48,62.5,56.45,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
CRWD,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,62.34,72.54,72.25,81.86,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
CSX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,34.61,33.8,35.41,32.32,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
DDOG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,41.22,38.48,36.83,36.38,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
DXCM,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,80.47,85.16,84.16,89.8,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
FANG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,89.4,83.55,84.08,77.36,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
DASH,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,64.65,68.6,67.75,71.2,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
EXC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,55.92,54.25,56.82,47.75,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
FAST,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,60.65,71.14,71.2,80.2,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
FER,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,15.03,23.4,22.54,34.3,True,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
FTNT,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,24.02,31.77,29.28,41.32,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
GEHC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,78.76,84.68,84.32,88.25,False,False,False,False,True,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
GILD,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,91.57,87.47,88.02,81.51,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
HONA,,1d,candidate_skdj_9_3_v1,9,3,,,,,False,False,False,False,False,False,无,分层=待定; 日线_方向=-; 周线_方向=-,普通区,,False,数据不足
HON,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,14.55,20.87,21.01,25.8,True,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
IDXX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,19.3,21.93,20.0,28.15,True,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
INTC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,56.6,68.43,72.69,76.18,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
INTU,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,70.44,75.79,72.78,81.65,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
ISRG,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,72.52,80.53,80.12,87.71,False,False,False,False,True,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
KDP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,42.87,40.71,40.64,35.78,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
KLAC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,62.8,71.55,74.39,77.67,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
KHC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,31.97,30.38,29.71,26.71,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
LRCX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,81.62,83.09,85.55,83.67,False,False,False,True,True,True,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区; 高位下穿,True,ok
LIN,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,21.75,26.06,24.36,30.72,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
LITE,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,69.24,74.03,77.85,75.69,False,False,False,False,False,False,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
MAR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,54.6,49.25,49.71,42.41,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
MRVL,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,67.52,73.1,76.95,76.02,False,False,False,False,False,False,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
MELI,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,27.95,36.87,36.76,43.76,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
META,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,30.3,45.49,45.34,58.98,False,False,False,False,False,False,无,分层=空头共振; 日线_方向=空; 周线_方向=空,普通区,,False,ok
MCHP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,45.12,48.12,49.18,51.36,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
MU,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,77.4,80.63,83.94,79.77,False,False,False,False,True,False,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,高位下穿,True,ok
MSFT,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,35.54,50.62,49.25,64.37,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
MSTR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,27.99,33.22,35.5,39.27,False,False,False,False,False,False,无,分层=空头共振; 日线_方向=空; 周线_方向=空,普通区,,False,ok
MDLZ,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,61.44,62.53,62.4,58.56,False,False,False,False,False,False,下穿,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
MPWR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,45.89,48.03,52.65,46.38,False,False,False,False,False,False,下穿,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
MNST,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,3.35,3.67,3.28,4.34,True,True,True,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,待人工分类,超卖区,True,ok
NBIS,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,80.4,80.63,83.09,76.94,False,False,False,True,True,True,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区; 高位下穿,True,ok
NFLX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,74.53,77.28,75.5,78.21,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
NVDA,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,70.95,81.88,85.65,87.79,False,False,False,False,True,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
NXPI,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,40.91,45.25,46.37,47.03,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
ORLY,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,44.32,55.73,54.03,66.71,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
ODFL,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,29.05,35.79,38.33,39.96,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
PCAR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,18.81,23.08,24.89,25.81,True,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
PLTR,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,79.73,84.81,85.01,88.55,False,False,False,False,True,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
PANW,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,68.78,78.37,78.21,86.53,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
PAYX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,51.65,65.34,65.03,75.48,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
PYPL,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,71.33,77.44,77.77,80.38,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
PDD,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,32.2,33.16,31.63,39.29,False,False,False,False,False,False,无,分层=空头共振; 日线_方向=空; 周线_方向=空,普通区,,False,ok
PEP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,59.54,57.31,55.13,51.39,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
QCOM,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,61.15,70.32,71.6,75.75,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
REGN,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,83.31,84.66,84.49,86.28,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
RKLB,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,62.69,67.52,68.68,72.42,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
ROP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,43.84,53.39,51.26,60.69,False,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=空,普通区,,False,ok
ROST,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,17.07,24.02,22.78,31.58,True,False,False,False,False,False,无,分层=偏多; 日线_方向=多; 周线_方向=多,普通区,,False,ok
SNDK,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,80.48,78.79,81.65,73.37,False,False,False,True,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
STX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,76.33,76.71,80.57,72.25,False,False,False,False,False,False,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,高位下穿,True,ok
SHOP,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,62.25,77.4,78.45,87.08,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
SPCX,,1d,candidate_skdj_9_3_v1,9,3,,,,,False,False,False,False,False,False,无,分层=待定; 日线_方向=-; 周线_方向=-,普通区,,False,数据不足
SBUX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,60.64,68.03,70.36,72.17,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
SNPS,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,62.88,73.8,76.49,79.39,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
TMUS,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,79.14,77.86,77.24,74.67,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
TTWO,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,54.79,57.79,57.56,59.88,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
TER,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,78.78,81.68,86.26,80.01,False,False,False,False,True,False,下穿,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,高位下穿,True,ok
TSLA,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,72.57,77.87,78.31,81.74,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=空,普通区,,False,ok
TXN,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,43.01,48.1,51.26,52.38,False,False,False,False,False,False,无,分层=偏空; 日线_方向=空; 周线_方向=多,普通区,,False,ok
TRI,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,38.44,41.67,39.24,44.95,False,False,False,False,False,False,无,分层=偏空; 日线_方向=多; 周线_方向=空,普通区,,False,ok
VRTX,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,63.16,63.58,61.55,66.64,False,False,False,False,False,False,无,分层=多头共振; 日线_方向=多; 周线_方向=多,普通区,,False,ok
WMT,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,78.24,80.22,79.28,80.74,False,False,False,False,True,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
WBD,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,92.0,90.5,90.09,89.05,False,False,False,True,True,True,无,分层=多头共振; 日线_方向=多; 周线_方向=多,顶部超买,超买区,True,ok
WDC,2026-08-18 00:00 ET,1d,candidate_skdj_9_3_v1,9,3,59.2,51.43,53.81,42.23,False,False,False,False,False,False,无,分层=偏多; 日线_方向=空; 周线_方向=多,普通区,,False,ok
