ticker,group,signals,max_strength,close,rsi,td
AMD,bear,RSI顶背离(100); MACD顶背离(100),100.0,484.39,47.5,3
ABNB,bear,RSI顶背离(49); MACD顶背离(31),49.0,183.25,70.6,1
AMGN,bull,RSI底背离(15),15.0,425.28,74.3,2
APP,none,,0.0,307.26,29.2,1
ASML,bear,RSI顶背离(100); MACD顶背离(100); TD9Sell(92),100.0,1802.98,53.9,1
BKR,bear,TD9Sell(92),92.0,64.44,63.0,9
CRWD,both,RSI顶背离(74); MACD顶背离(51); 底量背离(22); TD9Sell(92),92.0,212.92,57.7,3
DXCM,none,,0.0,89.6,66.0,2
FANG,both,RSI底背离(12); RSI顶背离(50); MACD底背离(15); MACD顶背离(54); 底量背离(9); TD9Sell(进行中)(78),78.0,210.02,63.4,7
FAST,bear,TD9Sell(92),92.0,51.27,63.9,4
GILD,bull,RSI底背离(53); MACD底背离(22); TD9Sell(进行中)(74),74.0,143.44,69.5,6
KDP,bear,RSI顶背离(60); MACD顶背离(31),60.0,30.79,51.3,4
