ticker,60min_数据截至,60min_方向,60min_EMA20,60min_EMA60,60min_收盘,日线_数据截至,日线_方向,日线_EMA20,日线_EMA60,日线_收盘,周线_数据截至,周线_方向,周线_EMA20,周线_EMA60,周线_收盘,多头数,空头数,分层,日线涨跌%
ADBE,2026-08-18 15:30 ET,多,261.66,260.16,263.12,2026-08-18 00:00 ET,多,253.52,242.66,263.14,2026-08-17 00:00 ET,空,247.42,294.0,263.14,2,1,偏多,3.58
AMD,2026-08-18 15:30 ET,多,491.69,491.35,484.67,2026-08-18 00:00 ET,多,494.21,479.02,484.39,2026-08-17 00:00 ET,多,448.4,322.97,484.39,3,0,多头共振,-4.27
ABNB,2026-08-18 15:30 ET,多,183.1,177.68,183.24,2026-08-18 00:00 ET,多,167.07,152.28,183.25,2026-08-17 00:00 ET,多,150.61,138.66,183.25,3,0,多头共振,2.21
ALNY,2026-08-18 15:30 ET,多,226.97,226.23,228.61,2026-08-18 00:00 ET,空,237.69,267.17,228.61,2026-08-17 00:00 ET,空,276.43,312.31,228.61,1,2,偏空,1.79
GOOGL,2026-08-18 15:30 ET,空,344.42,347.47,344.07,2026-08-18 00:00 ET,空,349.15,351.92,344.2,2026-08-17 00:00 ET,多,346.46,303.91,344.2,1,2,偏空,0.06
GOOG,2026-08-18 15:30 ET,空,342.11,345.58,341.37,2026-08-18 00:00 ET,空,347.53,350.22,341.28,2026-08-17 00:00 ET,多,344.78,303.18,341.28,1,2,偏空,-0.05
AMZN,2026-08-18 15:30 ET,空,261.79,264.8,259.48,2026-08-18 00:00 ET,多,260.6,252.65,259.45,2026-08-17 00:00 ET,多,249.84,234.27,259.45,2,1,偏多,-0.71
AEP,2026-08-18 15:30 ET,多,126.16,125.91,126.37,2026-08-18 00:00 ET,空,127.61,129.89,126.35,2026-08-17 00:00 ET,多,129.63,122.67,126.35,2,1,偏多,-0.14
AMGN,2026-08-18 15:30 ET,多,420.78,413.48,425.27,2026-08-18 00:00 ET,多,400.99,376.23,425.28,2026-08-17 00:00 ET,多,372.01,343.08,425.28,3,0,多头共振,1.41
ADI,2026-08-18 15:30 ET,空,381.05,382.51,376.96,2026-08-18 00:00 ET,空,381.44,384.48,376.63,2026-08-17 00:00 ET,多,377.2,325.96,376.63,1,2,偏空,-3.5
AAPL,2026-08-18 15:30 ET,空,307.61,307.91,310.2,2026-08-18 00:00 ET,多,311.97,306.89,310.03,2026-08-17 00:00 ET,多,300.29,272.62,310.03,2,1,偏多,1.45
AMAT,2026-08-18 15:30 ET,空,519.36,526.56,514.38,2026-08-18 00:00 ET,多,530.62,521.78,514.33,2026-08-17 00:00 ET,多,492.54,374.67,514.33,2,1,偏多,-3.92
APP,2026-08-18 15:30 ET,空,312.56,329.14,307.27,2026-08-18 00:00 ET,空,363.66,426.07,307.26,2026-08-17 00:00 ET,空,433.09,446.55,307.26,0,3,空头共振,-1.51
ARM,2026-08-18 15:30 ET,空,264.51,269.71,253.4,2026-08-18 00:00 ET,空,272.6,278.78,253.32,2026-08-17 00:00 ET,多,264.3,204.83,253.32,1,2,偏空,-6.67
ASML,2026-08-18 15:30 ET,多,1825.32,1800.89,1802.98,2026-08-18 00:00 ET,多,1767.02,1717.07,1802.98,2026-08-17 00:00 ET,多,1664.73,1360.89,1802.98,3,0,多头共振,-4.26
ALAB,2026-08-18 15:30 ET,空,311.05,317.94,303.7,2026-08-18 00:00 ET,多,321.79,318.04,303.44,2026-08-17 00:00 ET,多,296.09,218.82,303.44,2,1,偏多,-5.23
ADSK,2026-08-18 15:30 ET,多,248.67,246.94,246.79,2026-08-18 00:00 ET,多,239.19,229.24,246.79,2026-08-17 00:00 ET,空,232.52,251.96,246.79,2,1,偏多,2.13
ADP,2026-08-18 15:30 ET,多,270.38,269.9,269.41,2026-08-18 00:00 ET,多,265.12,247.79,269.31,2026-08-17 00:00 ET,空,243.92,249.62,269.31,2,1,偏多,1.22
AXON,2026-08-18 15:30 ET,多,613.9,600.9,619.91,2026-08-18 00:00 ET,多,578.75,529.75,619.85,2026-08-17 00:00 ET,空,517.93,532.84,619.85,2,1,偏多,2.57
BKR,2026-08-18 15:30 ET,多,64.45,63.72,64.44,2026-08-18 00:00 ET,多,61.98,60.71,64.44,2026-08-17 00:00 ET,多,60.34,54.82,64.44,3,0,多头共振,-0.71
BKNG,2026-08-18 15:30 ET,多,209.93,208.76,208.23,2026-08-18 00:00 ET,多,201.39,187.74,208.25,2026-08-17 00:00 ET,空,186.78,187.8,208.25,2,1,偏多,1.7
AVGO,2026-08-18 15:30 ET,空,390.1,401.62,380.01,2026-08-18 00:00 ET,多,399.96,394.57,380.0,2026-08-17 00:00 ET,多,385.61,344.5,380.0,2,1,偏多,-3.17
CDNS,2026-08-18 15:30 ET,空,321.78,327.22,316.49,2026-08-18 00:00 ET,空,334.25,346.63,316.52,2026-08-17 00:00 ET,多,340.57,326.7,316.52,1,2,偏空,-2.15
CTAS,2026-08-18 15:30 ET,空,199.75,201.3,199.46,2026-08-18 00:00 ET,多,200.58,191.63,199.45,2026-08-17 00:00 ET,空,189.32,189.92,199.45,1,2,偏空,0.82
CSCO,2026-08-18 15:30 ET,空,112.57,115.45,111.64,2026-08-18 00:00 ET,多,116.31,113.4,111.61,2026-08-17 00:00 ET,多,108.54,90.48,111.61,2,1,偏多,-1.14
CCEP,2026-08-18 15:30 ET,空,107.03,107.06,107.51,2026-08-18 00:00 ET,多,106.99,103.55,107.5,2026-08-17 00:00 ET,多,102.0,95.61,107.5,2,1,偏多,1.83
CMCSA,2026-08-18 15:30 ET,多,25.95,25.58,26.2,2026-08-18 00:00 ET,多,24.99,24.77,26.2,2026-08-17 00:00 ET,空,25.34,27.89,26.2,2,1,偏多,2.46
CEG,2026-08-18 15:30 ET,多,275.28,275.04,266.9,2026-08-18 00:00 ET,多,269.91,269.66,266.83,2026-08-17 00:00 ET,空,275.27,287.26,266.83,2,1,偏多,-4.09
CPRT,2026-08-18 15:30 ET,多,31.62,30.55,31.52,2026-08-18 00:00 ET,空,29.78,30.19,31.51,2026-08-17 00:00 ET,空,31.49,37.57,31.51,1,2,偏空,-0.6
